"filename", "language", "TXT", "C++", "Batch", "JSON", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\Repositories\.vs\ProjectSettings.json", "JSON", 0, 0, 0, 3, 0, 0, 3
"c:\Users\Administrator\Desktop\Repositories\.vs\VSWorkspaceState.json", "JSON", 0, 0, 0, 8, 0, 0, 8
"c:\Users\Administrator\Desktop\Repositories\build.bat", "Batch", 0, 0, 5, 0, 0, 1, 6
"c:\Users\Administrator\Desktop\Repositories\cleanup.bat", "Batch", 0, 0, 2, 0, 0, 0, 2
"c:\Users\Administrator\Desktop\Repositories\graf2.txt", "TXT", 15, 0, 0, 0, 0, 0, 15
"c:\Users\Administrator\Desktop\Repositories\incl\Graph.hpp", "C++", 0, 430, 0, 0, 24, 125, 579
"c:\Users\Administrator\Desktop\Repositories\incl\Matrix.hpp", "C++", 0, 85, 0, 0, 6, 23, 114
"c:\Users\Administrator\Desktop\Repositories\incl\Node.hpp", "C++", 0, 45, 0, 0, 8, 19, 72
"c:\Users\Administrator\Desktop\Repositories\incl\Relation.hpp", "C++", 0, 48, 0, 0, 2, 14, 64
"c:\Users\Administrator\Desktop\Repositories\incl\literals.hpp", "C++", 0, 7, 0, 0, 0, 3, 10
"c:\Users\Administrator\Desktop\Repositories\main.cpp", "C++", 0, 27, 0, 0, 18, 17, 62
"c:\Users\Administrator\Desktop\Repositories\src\graf1.txt", "TXT", 14, 0, 0, 0, 0, 0, 14
"c:\Users\Administrator\Desktop\Repositories\src\graf1_matrica.txt", "TXT", 27, 0, 0, 0, 0, 1, 28
"c:\Users\Administrator\Desktop\Repositories\test.cpp", "C++", 0, 35, 0, 0, 18, 17, 70
"c:\Users\Administrator\Desktop\Repositories\test.txt", "TXT", 521, 0, 0, 0, 0, 0, 521
"c:\Users\Administrator\Desktop\Repositories\tests\test.cpp", "C++", 0, 7, 0, 0, 0, 1, 8
"c:\Users\Administrator\Desktop\Repositories\tests\unittest.cpp", "C++", 0, 47, 0, 0, 0, 13, 60
"Total", "-", 577, 731, 7, 11, 76, 234, 1636
